timestamp_utc,market_id,question,end_date,strategy,subtype,direction,stake_eur,entry_price,ic_modelo,edge_neto,conviction_score,kelly_recomendado,status,close_timestamp,exit_price,outcome_real,fee_eur,pnl_bruto_eur,pnl_neto_eur,notas
2026-06-30T14:39:26+00:00,2730730,"Ethereum Up or Down - June 30, 10:45AM-11:00AM ET",2026-06-30T15:00:00,UPDOWN_GBM,ETH#15min,BUY_NO,0.0,0.485,0.2999,-0.1651,0.1562,1.99,ERROR,,,,0.0,,,"PolyApiException[status_code=400, error_message={'error': 'invalid order version, please use the latest clob-client'}]"
2026-07-01T06:30:37+00:00,2739778,"Ethereum Up or Down - July 1, 2:30AM-2:45AM ET",2026-07-01T06:45:00,UPDOWN_GBM,ETH#15min,BUY_NO,1.89,0.485,0.1079,-0.3871,0.1486,1.89,CLOSED,2026-07-01T06:42:36+00:00,1.0,NO,0.0,2.0069,2.0069,
2026-07-01T06:39:41+00:00,2740253,"Ethereum Up or Down - July 1, 2:45AM-3:00AM ET",2026-07-01T07:00:00,UPDOWN_GBM,ETH#15min,BUY_NO,1.51,0.485,0.4294,-0.0656,0.1486,1.51,CLOSED,2026-07-01T07:02:05+00:00,1.0,NO,0.0,1.6034,1.6034,
2026-07-01T07:11:01+00:00,2740291,"Ethereum Up or Down - July 1, 3:00AM-3:15AM ET",2026-07-01T07:15:00,UPDOWN_GBM,ETH#15min,BUY_NO,0.0,0.565,0.4797,-0.0653,0.1667,2.0,ERROR,,,,0.0,,,"PolyApiException[status_code=None, error_message=Request exception!]"
2026-07-01T08:39:06+00:00,2740589,"Ethereum Up or Down - July 1, 4:30AM-4:45AM ET",2026-07-01T08:45:00,UPDOWN_GBM,ETH#15min,BUY_NO,2.0,0.405,0.49,-0.085,0.175,2.0,CLOSED,2026-07-01T08:47:20+00:00,0.0,YES,0.0,-2.0000,-2.0000,
2026-07-01T13:00:17+00:00,2743533,"Ethereum Up or Down - July 1, 9:00AM-9:15AM ET",2026-07-01T13:15:00,UPDOWN_GBM,ETH#15min,BUY_NO,2.0,0.485,0.4557,-0.0393,0.1522,2.0,CLOSED,2026-07-01T13:16:49+00:00,0.0,YES,0.0,-2.0000,-2.0000,
2026-07-01T15:07:55+00:00,2744011,"Ethereum Up or Down - July 1, 11:00AM-11:15AM ET",2026-07-01T15:15:00,UPDOWN_GBM,ETH#15min,BUY_YES,0.0,0.495,0.5717,0.0567,0.125,1.57,ERROR,,,,0.0,,,"PolyApiException[status_code=400, error_message={'error': 'invalid amounts, the market buy orders maker amount supports a max accuracy of 2 decimals, taker amount a max of 4 decimals'}]"
2026-07-01T15:15:39+00:00,2744047,"Ethereum Up or Down - July 1, 11:15AM-11:30AM ET",2026-07-01T15:30:00,UPDOWN_GBM,ETH#15min,BUY_YES,1.57,0.485,0.6062,0.1012,0.125,1.57,CLOSED,2026-07-01T15:31:04+00:00,1.0,YES,0.0,1.6671,1.6671,
2026-07-01T23:28:05+00:00,2749370,"Ethereum Up or Down - July 1, 7:30PM-7:45PM ET",2026-07-01T23:45:00,UPDOWN_GBM,ETH#15min,BUY_NO,1.73,0.485,0.4058,-0.0882,0.1296,1.73,CLOSED,2026-07-01T23:47:46+00:00,1.0,NO,0.0,1.8370,1.8370,
2026-07-02T06:30:39+00:00,2753589,"Ethereum Up or Down - July 2, 2:30AM-2:45AM ET",2026-07-02T06:45:00,UPDOWN_GBM,ETH#15min,BUY_NO,2.0,0.495,0.5044,-0.0634,0.1441,2.0,CLOSED,2026-07-02T06:48:57+00:00,0.0,YES,0.0,-2.0000,-2.0000,
2026-07-02T07:10:11+00:00,2754044,"Ethereum Up or Down - July 2, 3:00AM-3:15AM ET",2026-07-02T07:15:00,UPDOWN_GBM,ETH#15min,BUY_NO,1.63,0.455,0.5415,-0.0961,0.123,1.63,OPEN,,,,0.0,,,
